samp_mat_process_naMerged	count
Not collected	462
micropipet	5
mo-bio power soil kit	2
dna extraction	2
genomic dna isolated using qiagen stool kit followed by illumina miseq amplicon sequencing	2
stools processing device (biomerieux) in combination with nucleospin soil kit (macherey-nagel)	1
processed	1
unprocessed	1
centrifuged, supernatant removed, frozen -80°c	1
illumina miseq 16s amplicon sequencing	1
dneasy powerlyzer powersoil kit (qiagen)	1
stools processing device (biomerieux) in combination with dneasy powerlyzer powersoil kit (qiagen)	1
stools processing device (biomerieux) in combination with qiaamp fast dna stool kit (qiagen)	1
zymobiomics dna mini kit (zymoresearch)	1
stools processing device (biomerieux) in combination with zymobiomics dna mini kit (zymoresearch)	1
qiaamp fast dna stool kit (qiagen)	1
nucleospin soil kit (macherey-nagel)	1
zymo research quick-dna™ fecal/soil microbe. microprep kit (cat.no.: d6012)	1
zymobiomics dna microprep kit (cat no.: d4301)	1
zymobiomics dna 96 kit	1
no processing applied	1
snap frozen	1
mobio powersoil 96-well dna kit, 20 min beadbeating retsch	1
homogenisation (stomacher)	1
dna isolation, 16s v3-v4 amplification, miseq 2 x 300 bp sequencing	1
