env_medium_naMerged	count
Not collected	240
feces	65
stool	54
envo:	10
feces ethnicity	10
fecal material	8
stool ethnicity	8
fecal	7
envo:feces	7
faeces	6
not applicable	6
feces envo:	4
human-associated habitat	3
rectal swab	3
feces [envo:]	3
water	2
purified dna	2
intestine environment	2
human gut	2
stool sample	2
air	2
fecal sample	2
biopsy	2
gut	2
aspirate	2
empty	1
duodenal aspirate	1
organic material	1
feces.	1
lumen compartment ethnicity asian	1
lumen compartment ethnicity mediterranean	1
faeces ethnicity indonesian	1
human intestinal	1
--duodenal aspirate	1
not appicable	1
mucosa of rectum	1
feces(envo:) ethnicity	1
rectalswab	1
tissue_	1
na ethnicity na	1
fecal solid ethnicity not hispanic/latino	1
aspirate fluid ethnicity not hispanic/latino	1
stool_	1
[envo:]	1
sigmoid colon mucosal biopsy ethnicity not hispanic or latino	1
envo_	1
swab ethnicity kazakh	1
colonic tissue	1
ileal tissue	1
faecal sample	1
pbs	1
patient 	1
stool fluconazole  gastritis  gentamicin 	1
human gut microbiome	1
hrc	1
microbiological fermentation medium	1
.f	1
humanfaeces	1
mucosa	1
envo: ethnicity caucasian	1
phosphate buffered saline	1
fecal samples ethnicity hispanic	1
stool sample (from sigmoid colon) ethnicity not hispanic or latino	1
fecal ethnicity kazakh	1
na ethnicity other	1
bran ethnicity not collected	1
negative control	1
control	1
human faeces	1
vaginal-sample	1
chyme	1
sequencing positive ctrl	1
oral catheter secretion	1
kit negative ctrl (oral)	1
kit negative ctrl (stool)	1
kit negative ctrl (endo)	1
endotracheal catheter secretion	1
kit negative ctrl (bm)	1
breast milk	1
sequencing negative ctrl	1
vaginal sample	1
rnalater	1
bronchial brush	1
oral wash	1
intesitinal biome	1
missing ethnicity asian	1
tissue	1
feces friedchickenfreq blank friedchickenquan  friesfreq blank friesquan 	1
bran ethnicity none	1
feces friedchickenfreq  friedchickenquan  friesfreq  friesquan 	1
quality control ethnicity caucasian	1
quality control ethnicity none	1
intestinal tract	1
large intestine ethnicity caucasian	1
intestinal mucosa ethnicity caucasian	1
na ethnicity white	1
tumor	1
.feces	1
.sigmoid	1
ethanol	1
lab reagents	1
human infant feces	1
human gastric tissue	1
intestine environment ethnicity white	1
biological product	1
frozen at - degree after collection ethnicity asian caucasian hybrid	1
fit buffer	1
intestinal lumen ethnicity south asian	1
uberon:	1
human stool	1
