isolation_source_naMerged	count
Not collected	343
stool	39
feces	37
human feces	5
gut	4
fecal sample	4
human stool	4
tissue	3
fecal material	2
stomach	2
faecal	2
faecal sample	2
human gut	2
anal swab	2
negative control	1
pc__rectal_fecal_matter	1
healthy infant stool	1
healthy infant fed breast milk	1
gut mucosa	1
eczema infant fed breast milk	1
pcr_blank_control_rep	1
ascendingcolon biopsy	1
sigmoid biopsy	1
transversecolon biopsy	1
descendingcolon biopsy	1
gastric mucosal biopsy	1
cecum biopsy	1
terminalileum biopsy	1
rectum biopsy	1
bronchoalveolar lavage	1
oral wash	1
eczema infant stool	1
human rectum	1
appendix	1
small intestine	1
hospital	1
intestinal lumen, mucosa, stool	1
human fecesfromh	1
human fecesfroma	1
meconium	1
gut mycobiota composition of non-celiac gluten wheat sensitivity individual #	1
gut mycobiota composition of placebo-responsive individual #	1
gut microbiota composition of non-celiac gluten wheat sensitivity individual #	1
gut microbiota composition of placebo-responsive individual #	1
in vitro gut simulation	1
gut sh	1
gut sa	1
gut n	1
gut 	1
e_	1
enteric gut	1
feacal swab	1
_t	1
large intestine	1
nasal swab	1
human colon	1
month_stool_s	1
ileum	1
ffpe intestine	1
subject_	1
ascending (right-sided) colon	1
cecum	1
descending (left-sided) colon	1
sigmoid colon	1
transverse colon	1
rectum	1
fecal matter	1
mucosa	1
ileal biopsy	1
bacterica	1
stool samples	1
homo sapiens	1
scope	1
stool rRNA removal no	1
one stool sample	1
faecal samples	1
small intestinal fluid	1
antral lesser curvature	1
day_stool_s	1
nursing homes from massachusett	1
feces from hbt-	1
feces from n	1
feces from hbv-	1
feces from zr-	1
hc	1
ibs-d	1
hypopharyngeal	1
neonatal intensive care unit, diaper	1
human stool sample	1
antrum	1
intestinal mucus	1
faecal content	1
blank	1
cardia	1
gastric fluid	1
antral greater curvature	1
body	1
fundus	1
duodenum	1
